jurisdiction,breakpoint,regression,startDate,endDate,intercept,slope,intercept_log,slope_log
Canada,2020-03-14,reg1,2020-03-16,2020-04-05,5.979744476,1.218426206,0.776682626,0.085799231
Canada - Alberta,2020-03-14,reg1,2020-03-30,2020-04-05,7.732329878,1.206559849,0.888310374,0.081548869
Canada - British Columbia,2020-03-14,reg1,2020-03-17,2020-04-05,6.628685824,1.095894238,0.821427435,0.039768643
Canada - Ontario,2020-03-14,reg1,2020-03-22,2020-04-05,5.280684384,1.277455867,0.722690211,0.106345905
Canada - Quebec,2020-03-14,reg1,2020-03-25,2020-04-05,8.128906332,1.24575746,0.910032119,0.095433496
Canada,2020-03-14,reg2,2020-04-06,2020-04-10,19.97918337,1.147274451,1.300577733,0.059667322
Canada - Alberta,2020-03-14,reg2,2020-04-06,2020-04-10,10.23444767,1.125092776,1.01006441,0.051188336
Canada - British Columbia,2020-03-14,reg2,2020-04-06,2020-04-10,7.37915153,1.087451186,0.868006429,0.036409771
Canada - Ontario,2020-03-14,reg2,2020-04-06,2020-04-10,26.19068117,1.130152018,1.418146794,0.053136865
Canada - Quebec,2020-03-14,reg2,2020-04-06,2020-04-10,15.27991446,1.190371673,1.184120923,0.075682584
