jurisdiction,fatality_mean,fatality_mean_lower,fatality_mean_upper
Alberta,0.801021720214233,0.4345536466363905,1.5523955593235537
British Columbia,1.0749520382912905,0.582503370452086,2.06517836469522
Canada,1.0212572686854027,0.553030660666469,1.9629780429661001
Manitoba,0.9190623645146098,0.49669413059479434,1.7672934306462744
New Brunswick,1.1970699538507288,0.6506895570571054,2.3009377519061514
Newfoundland and Labrador,1.1788764410152968,0.644297000759287,2.2785699299385285
Northwest Territories,0.5504252123767457,0.3038070894123946,1.1004369919243298
Nova Scotia,1.1723307657544049,0.6370917390865715,2.2537192714601164
Nunavut,0.30051030350696234,0.1652025519597731,0.6172415265600826
Ontario,1.0128602198400212,0.5476124448731742,1.9445750247399056
Prince Edward Island,1.1092451554346372,0.6030635986989238,2.135501039841475
Quebec,1.107506929092813,0.6001130973905019,2.125728381083481
Saskatchewan,0.9373310908484055,0.5052043247546536,1.7970613257815067
Yukon,0.7554232748323297,0.4166127455083958,1.4904896142360602
