REF_DATE,GEO,Sex,Age group,VALUE
2019,Canada,Both sexes,0 years,381716
2019,Canada,Both sexes,1 year,381655
2019,Canada,Both sexes,2 years,386542
2019,Canada,Both sexes,3 years,394889
2019,Canada,Both sexes,4 years,398373
2019,Canada,Both sexes,5 years,401761
2019,Canada,Both sexes,6 years,405905
2019,Canada,Both sexes,7 years,408230
2019,Canada,Both sexes,8 years,407905
2019,Canada,Both sexes,9 years,415551
2019,Canada,Both sexes,10 years,417389
2019,Canada,Both sexes,11 years,417066
2019,Canada,Both sexes,12 years,406889
2019,Canada,Both sexes,13 years,397226
2019,Canada,Both sexes,14 years,393192
2019,Canada,Both sexes,15 years,398854
2019,Canada,Both sexes,16 years,400592
2019,Canada,Both sexes,17 years,408905
2019,Canada,Both sexes,18 years,433315
2019,Canada,Both sexes,19 years,472969
2019,Canada,Both sexes,20 years,482522
2019,Canada,Both sexes,21 years,485957
2019,Canada,Both sexes,22 years,489029
2019,Canada,Both sexes,23 years,505094
2019,Canada,Both sexes,24 years,514096
2019,Canada,Both sexes,25 years,513224
2019,Canada,Both sexes,26 years,517809
2019,Canada,Both sexes,27 years,524445
2019,Canada,Both sexes,28 years,533202
2019,Canada,Both sexes,29 years,536794
2019,Canada,Both sexes,30 years,523473
2019,Canada,Both sexes,31 years,513536
2019,Canada,Both sexes,32 years,516032
2019,Canada,Both sexes,33 years,525351
2019,Canada,Both sexes,34 years,525546
2019,Canada,Both sexes,35 years,524015
2019,Canada,Both sexes,36 years,520390
2019,Canada,Both sexes,37 years,515896
2019,Canada,Both sexes,38 years,513063
2019,Canada,Both sexes,39 years,506657
2019,Canada,Both sexes,40 years,493629
2019,Canada,Both sexes,41 years,484303
2019,Canada,Both sexes,42 years,482423
2019,Canada,Both sexes,43 years,481295
2019,Canada,Both sexes,44 years,479359
2019,Canada,Both sexes,45 years,469801
2019,Canada,Both sexes,46 years,468498
2019,Canada,Both sexes,47 years,475165
2019,Canada,Both sexes,48 years,491891
2019,Canada,Both sexes,49 years,491051
2019,Canada,Both sexes,50 years,484680
2019,Canada,Both sexes,51 years,480542
2019,Canada,Both sexes,52 years,484956
2019,Canada,Both sexes,53 years,510254
2019,Canada,Both sexes,54 years,542235
2019,Canada,Both sexes,55 years,557227
2019,Canada,Both sexes,56 years,559833
2019,Canada,Both sexes,57 years,545976
2019,Canada,Both sexes,58 years,547800
2019,Canada,Both sexes,59 years,538790
2019,Canada,Both sexes,60 years,525285
2019,Canada,Both sexes,61 years,517535
2019,Canada,Both sexes,62 years,503431
2019,Canada,Both sexes,63 years,487446
2019,Canada,Both sexes,64 years,478191
2019,Canada,Both sexes,65 years,456959
2019,Canada,Both sexes,66 years,433741
2019,Canada,Both sexes,67 years,414497
2019,Canada,Both sexes,68 years,401971
2019,Canada,Both sexes,69 years,389439
2019,Canada,Both sexes,70 years,377700
2019,Canada,Both sexes,71 years,372480
2019,Canada,Both sexes,72 years,365396
2019,Canada,Both sexes,73 years,308778
2019,Canada,Both sexes,74 years,282406
2019,Canada,Both sexes,75 years,269599
2019,Canada,Both sexes,76 years,253440
2019,Canada,Both sexes,77 years,230442
2019,Canada,Both sexes,78 years,214676
2019,Canada,Both sexes,79 years,196120
2019,Canada,Both sexes,80 years,182883
2019,Canada,Both sexes,81 years,169423
2019,Canada,Both sexes,82 years,154828
2019,Canada,Both sexes,83 years,146179
2019,Canada,Both sexes,84 years,133391
2019,Canada,Both sexes,85 years,121566
2019,Canada,Both sexes,86 years,113419
2019,Canada,Both sexes,87 years,103114
2019,Canada,Both sexes,88 years,92672
2019,Canada,Both sexes,89 years,80057
2019,Canada,Both sexes,90 years,67273
2019,Canada,Both sexes,91 years,57684
2019,Canada,Both sexes,92 years,47294
2019,Canada,Both sexes,93 years,38938
2019,Canada,Both sexes,94 years,31365
2019,Canada,Both sexes,95 years,24788
2019,Canada,Both sexes,96 years,18758
2019,Canada,Both sexes,97 years,13827
2019,Canada,Both sexes,98 years,9881
2019,Canada,Both sexes,99 years,6832
2019,Canada,Both sexes,100 years and over,10795
2019,Canada,Males,0 years,195851
2019,Canada,Males,1 year,195516
2019,Canada,Males,2 years,198435
2019,Canada,Males,3 years,202187
2019,Canada,Males,4 years,204180
2019,Canada,Males,5 years,205366
2019,Canada,Males,6 years,208006
2019,Canada,Males,7 years,208483
2019,Canada,Males,8 years,208375
2019,Canada,Males,9 years,211776
2019,Canada,Males,10 years,212892
2019,Canada,Males,11 years,212116
2019,Canada,Males,12 years,207072
2019,Canada,Males,13 years,202088
2019,Canada,Males,14 years,200511
2019,Canada,Males,15 years,203140
2019,Canada,Males,16 years,204331
2019,Canada,Males,17 years,208796
2019,Canada,Males,18 years,222421
2019,Canada,Males,19 years,244617
2019,Canada,Males,20 years,251357
2019,Canada,Males,21 years,253274
2019,Canada,Males,22 years,256359
2019,Canada,Males,23 years,263493
2019,Canada,Males,24 years,268964
2019,Canada,Males,25 years,267346
2019,Canada,Males,26 years,268321
2019,Canada,Males,27 years,269771
2019,Canada,Males,28 years,273763
2019,Canada,Males,29 years,274518
2019,Canada,Males,30 years,266970
2019,Canada,Males,31 years,259902
2019,Canada,Males,32 years,260848
2019,Canada,Males,33 years,266057
2019,Canada,Males,34 years,265145
2019,Canada,Males,35 years,263593
2019,Canada,Males,36 years,260513
2019,Canada,Males,37 years,257158
2019,Canada,Males,38 years,255523
2019,Canada,Males,39 years,251697
2019,Canada,Males,40 years,244185
2019,Canada,Males,41 years,240016
2019,Canada,Males,42 years,238556
2019,Canada,Males,43 years,238171
2019,Canada,Males,44 years,237518
2019,Canada,Males,45 years,232186
2019,Canada,Males,46 years,232546
2019,Canada,Males,47 years,236171
2019,Canada,Males,48 years,244675
2019,Canada,Males,49 years,244464
2019,Canada,Males,50 years,240560
2019,Canada,Males,51 years,238758
2019,Canada,Males,52 years,241212
2019,Canada,Males,53 years,254761
2019,Canada,Males,54 years,270424
2019,Canada,Males,55 years,278100
2019,Canada,Males,56 years,279080
2019,Canada,Males,57 years,271598
2019,Canada,Males,58 years,271802
2019,Canada,Males,59 years,266794
2019,Canada,Males,60 years,259365
2019,Canada,Males,61 years,255919
2019,Canada,Males,62 years,247567
2019,Canada,Males,63 years,239377
2019,Canada,Males,64 years,233691
2019,Canada,Males,65 years,222101
2019,Canada,Males,66 years,210520
2019,Canada,Males,67 years,201106
2019,Canada,Males,68 years,194953
2019,Canada,Males,69 years,188185
2019,Canada,Males,70 years,181760
2019,Canada,Males,71 years,178762
2019,Canada,Males,72 years,174978
2019,Canada,Males,73 years,147482
2019,Canada,Males,74 years,134559
2019,Canada,Males,75 years,127807
2019,Canada,Males,76 years,119554
2019,Canada,Males,77 years,107518
2019,Canada,Males,78 years,98689
2019,Canada,Males,79 years,89439
2019,Canada,Males,80 years,82617
2019,Canada,Males,81 years,75793
2019,Canada,Males,82 years,68389
2019,Canada,Males,83 years,63691
2019,Canada,Males,84 years,56898
2019,Canada,Males,85 years,51063
2019,Canada,Males,86 years,46609
2019,Canada,Males,87 years,41227
2019,Canada,Males,88 years,35737
2019,Canada,Males,89 years,29827
2019,Canada,Males,90 years,24124
2019,Canada,Males,91 years,19584
2019,Canada,Males,92 years,15347
2019,Canada,Males,93 years,12006
2019,Canada,Males,94 years,9039
2019,Canada,Males,95 years,6610
2019,Canada,Males,96 years,4706
2019,Canada,Males,97 years,3340
2019,Canada,Males,98 years,2393
2019,Canada,Males,99 years,1507
2019,Canada,Males,100 years and over,1938
2019,Canada,Females,0 years,185865
2019,Canada,Females,1 year,186139
2019,Canada,Females,2 years,188107
2019,Canada,Females,3 years,192702
2019,Canada,Females,4 years,194193
2019,Canada,Females,5 years,196395
2019,Canada,Females,6 years,197899
2019,Canada,Females,7 years,199747
2019,Canada,Females,8 years,199530
2019,Canada,Females,9 years,203775
2019,Canada,Females,10 years,204497
2019,Canada,Females,11 years,204950
2019,Canada,Females,12 years,199817
2019,Canada,Females,13 years,195138
2019,Canada,Females,14 years,192681
2019,Canada,Females,15 years,195714
2019,Canada,Females,16 years,196261
2019,Canada,Females,17 years,200109
2019,Canada,Females,18 years,210894
2019,Canada,Females,19 years,228352
2019,Canada,Females,20 years,231165
2019,Canada,Females,21 years,232683
2019,Canada,Females,22 years,232670
2019,Canada,Females,23 years,241601
2019,Canada,Females,24 years,245132
2019,Canada,Females,25 years,245878
2019,Canada,Females,26 years,249488
2019,Canada,Females,27 years,254674
2019,Canada,Females,28 years,259439
2019,Canada,Females,29 years,262276
2019,Canada,Females,30 years,256503
2019,Canada,Females,31 years,253634
2019,Canada,Females,32 years,255184
2019,Canada,Females,33 years,259294
2019,Canada,Females,34 years,260401
2019,Canada,Females,35 years,260422
2019,Canada,Females,36 years,259877
2019,Canada,Females,37 years,258738
2019,Canada,Females,38 years,257540
2019,Canada,Females,39 years,254960
2019,Canada,Females,40 years,249444
2019,Canada,Females,41 years,244287
2019,Canada,Females,42 years,243867
2019,Canada,Females,43 years,243124
2019,Canada,Females,44 years,241841
2019,Canada,Females,45 years,237615
2019,Canada,Females,46 years,235952
2019,Canada,Females,47 years,238994
2019,Canada,Females,48 years,247216
2019,Canada,Females,49 years,246587
2019,Canada,Females,50 years,244120
2019,Canada,Females,51 years,241784
2019,Canada,Females,52 years,243744
2019,Canada,Females,53 years,255493
2019,Canada,Females,54 years,271811
2019,Canada,Females,55 years,279127
2019,Canada,Females,56 years,280753
2019,Canada,Females,57 years,274378
2019,Canada,Females,58 years,275998
2019,Canada,Females,59 years,271996
2019,Canada,Females,60 years,265920
2019,Canada,Females,61 years,261616
2019,Canada,Females,62 years,255864
2019,Canada,Females,63 years,248069
